iter	Passed	Remaining
0	173	103794
1	181	54234
2	188	37599
3	195	29118
4	201	24031
5	205	20351
6	213	18069
7	220	16311
8	227	14907
9	233	13783
10	240	12859
11	247	12119
12	254	11469
13	260	10914
14	267	10421
15	274	10007
16	281	9636
17	288	9314
18	294	9007
19	300	8726
20	307	8481
21	314	8257
22	320	8050
23	327	7850
24	334	7690
25	340	7519
26	346	7363
27	353	7222
28	360	7094
29	367	6982
30	374	6865
31	378	6723
32	385	6622
33	392	6526
34	398	6430
35	404	6340
36	411	6260
37	418	6184
38	424	6107
39	430	6032
40	437	5963
41	443	5897
42	450	5837
43	457	5782
44	463	5718
45	469	5656
46	475	5595
47	481	5536
48	487	5481
49	493	5428
50	499	5377
51	506	5334
52	512	5286
53	518	5242
54	524	5199
55	531	5161
56	537	5121
57	544	5087
58	550	5046
59	556	5007
60	562	4971
61	569	4937
62	575	4909
63	582	4880
64	588	4847
65	595	4815
66	601	4782
67	607	4750
68	613	4719
69	619	4689
70	625	4660
71	631	4629
72	637	4601
73	643	4575
74	649	4547
75	655	4520
76	661	4495
77	668	4472
78	674	4448
79	680	4425
80	687	4403
81	693	4380
82	699	4359
83	706	4338
84	712	4316
85	719	4299
86	725	4280
87	732	4261
88	738	4240
89	745	4222
90	751	4201
91	757	4180
92	763	4162
93	769	4144
94	776	4128
95	783	4112
96	790	4097
97	796	4079
98	802	4063
99	809	4047
100	815	4031
101	822	4014
102	829	4000
103	835	3982
104	841	3967
105	848	3956
106	855	3941
107	861	3924
108	868	3910
109	874	3894
110	880	3878
111	887	3865
112	893	3850
113	899	3835
114	905	3820
115	911	3803
116	917	3788
117	923	3774
118	930	3759
119	936	3744
120	942	3732
121	949	3718
122	955	3704
123	961	3690
124	967	3675
125	973	3661
126	979	3647
127	985	3632
128	991	3619
129	997	3606
130	1003	3593
131	1009	3579
132	1015	3566
133	1021	3553
134	1028	3541
135	1034	3528
136	1040	3515
137	1046	3503
138	1052	3490
139	1058	3477
140	1064	3464
141	1069	3451
142	1076	3439
143	1082	3428
144	1088	3416
145	1094	3404
146	1100	3392
147	1107	3382
148	1113	3369
149	1119	3358
150	1125	3345
151	1130	3333
152	1136	3321
153	1142	3309
154	1148	3296
155	1154	3284
156	1160	3274
157	1166	3263
158	1172	3251
159	1178	3239
160	1183	3227
161	1189	3217
162	1195	3205
163	1201	3194
164	1207	3183
165	1213	3172
166	1219	3161
167	1225	3150
168	1230	3139
169	1237	3129
170	1243	3118
171	1249	3108
172	1255	3098
173	1261	3088
174	1267	3077
175	1273	3066
176	1278	3056
177	1285	3046
178	1290	3036
179	1297	3027
180	1303	3016
181	1308	3006
182	1314	2995
183	1320	2985
184	1326	2976
185	1332	2966
186	1338	2956
187	1344	2946
188	1350	2936
189	1356	2926
190	1362	2917
191	1368	2907
192	1373	2897
193	1379	2887
194	1385	2877
195	1391	2867
196	1397	2857
197	1402	2847
198	1408	2838
199	1414	2829
200	1420	2820
201	1426	2810
202	1432	2801
203	1438	2792
204	1444	2783
205	1450	2775
206	1457	2766
207	1463	2757
208	1469	2749
209	1475	2740
210	1481	2731
211	1487	2722
212	1494	2714
213	1500	2706
214	1506	2697
215	1512	2689
216	1518	2680
217	1524	2671
218	1530	2663
219	1537	2655
